id,image_path,cluster
15970,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/15970.jpg,7
39386,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/39386.jpg,0
59263,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/59263.jpg,8
21379,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/21379.jpg,0
53759,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/53759.jpg,2
1855,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/1855.jpg,2
30805,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/30805.jpg,7
26960,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/26960.jpg,7
29114,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/29114.jpg,18
30039,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/30039.jpg,8
9204,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/9204.jpg,13
48123,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/48123.jpg,1
18653,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/18653.jpg,14
47957,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/47957.jpg,4
46885,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/46885.jpg,14
12369,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/12369.jpg,16
29928,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/29928.jpg,8
42419,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/42419.jpg,11
51832,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/51832.jpg,15
47359,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/47359.jpg,4
17429,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/17429.jpg,8
12967,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/12967.jpg,14
6842,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/6842.jpg,9
13089,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/13089.jpg,7
18461,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/18461.jpg,5
9036,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/9036.jpg,13
48311,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/48311.jpg,11
7990,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/7990.jpg,2
56019,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/56019.jpg,5
21977,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/21977.jpg,4
37812,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/37812.jpg,7
4729,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/4729.jpg,12
56825,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/56825.jpg,2
39988,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/39988.jpg,6
59051,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/59051.jpg,14
20099,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/20099.jpg,10
58183,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/58183.jpg,4
29742,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/29742.jpg,4
51658,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/51658.jpg,8
3954,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/3954.jpg,15
18839,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/18839.jpg,1
2886,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/2886.jpg,14
23278,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/23278.jpg,8
28690,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/28690.jpg,10
8580,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/8580.jpg,7
3168,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/3168.jpg,6
18005,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/18005.jpg,0
17871,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/17871.jpg,9
9452,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/9452.jpg,7
38402,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/38402.jpg,1
44984,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/44984.jpg,5
10268,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/10268.jpg,13
45856,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/45856.jpg,10
32138,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/32138.jpg,17
59435,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/59435.jpg,13
5891,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/5891.jpg,2
38630,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/38630.jpg,12
4943,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/4943.jpg,10
11188,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/11188.jpg,8
10866,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/10866.jpg,2
59607,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/59607.jpg,10
15528,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/15528.jpg,2
45258,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/45258.jpg,8
42841,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/42841.jpg,4
22198,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/22198.jpg,13
29570,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/29570.jpg,6
43993,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/43993.jpg,5
6628,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/6628.jpg,6
54924,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/54924.jpg,17
26538,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/26538.jpg,13
35913,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/35913.jpg,4
49495,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/49495.jpg,14
9660,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/9660.jpg,7
2288,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/2288.jpg,12
23876,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/23876.jpg,7
18237,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/18237.jpg,2
54118,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/54118.jpg,14
2872,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/2872.jpg,6
49653,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/49653.jpg,15
8574,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/8574.jpg,6
16957,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/16957.jpg,3
19123,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/19123.jpg,6
13419,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/13419.jpg,2
17885,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/17885.jpg,2
43369,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/43369.jpg,14
48781,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/48781.jpg,11
44970,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/44970.jpg,8
56489,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/56489.jpg,5
39524,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/39524.jpg,16
33822,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/33822.jpg,6
58513,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/58513.jpg,15
25947,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/25947.jpg,18
52029,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/52029.jpg,10
5865,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/5865.jpg,2
39716,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/39716.jpg,10
25349,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/25349.jpg,9
11940,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/11940.jpg,14
55802,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/55802.jpg,0
29584,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/29584.jpg,2
43967,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/43967.jpg,5
28456,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/28456.jpg,0
34009,/Users/huzaifashaikh/fashion-recommendation-app/data/processed/images/34009.jpg,18
